team,elo_basic,elo_basic_rank,ja_elo,ja_elo_rank,ip,ip_rank,avg_rank,combined_rank
brazil,1631.207473916587,1,1625.2249187832147,1,0.9993587331205455,1,1.0,1
netherlands,1596.3207438298512,2,1587.1336758062548,2,0.8127514677203287,3,2.3333333333333335,2
thailand,1581.1096746015244,3,1581.6204615629279,3,0.5280915555324325,6,4.0,3
china,1558.328762581824,5,1567.8519791246565,6,0.5453096072552329,5,5.333333333333333,4
iceland,1569.562780744415,4,1574.5968175373798,4,0.370653159055437,9,5.666666666666667,5
pakistan,1553.6473204257236,6,1559.2644877429393,7,0.5860923483445235,4,5.666666666666667,6
peru,1552.7462380625864,8,1547.380439639917,9,0.9258857171922277,2,6.333333333333333,7
new_zealand,1553.0218919346917,7,1574.3397158070995,5,-0.08670677752025817,16,9.333333333333334,8
ethiopia,1540.1854764287293,9,1549.2065177749882,8,0.2384509635686391,11,9.333333333333334,9
india,1532.8608553400077,10,1522.2244039540033,11,0.3126061188842065,10,10.333333333333334,10
serbia,1524.7185911782103,11,1525.8348677482106,10,0.051347369485957146,14,11.666666666666666,11
guatemala,1517.824744086117,12,1522.0062259885474,12,-0.06842667913874376,15,13.0,12
indonesia,1511.5843448281528,14,1514.843034891216,13,0.15762461782967305,12,13.0,13
philippines,1511.7425108922653,13,1506.6149249943974,15,0.13017268661194156,13,13.666666666666666,14
south_korea,1489.7663028485345,16,1484.3206288694055,16,-0.1697216051437909,18,16.666666666666668,15
morocco,1504.0649266531602,15,1514.1219042725832,14,-0.2607355830178189,22,17.0,16
uk,1469.4417299025708,24,1473.2721872325953,20,0.4026299032387793,8,17.333333333333332,17
singapore,1484.6540222110111,17,1476.4671380308073,17,-0.1908360058507807,19,17.666666666666668,18
panama,1470.9809242269719,23,1453.1048695052289,27,0.476102919167097,7,19.0,19
saudi_arabia,1471.6983560452368,21,1472.7793168249136,21,-0.12656621402246024,17,19.666666666666668,20
switzerland,1472.723496635346,20,1474.002101956318,19,-0.2921375386189311,24,21.0,21
uae,1475.955973014335,18,1475.0441330247518,18,-0.5863169783666313,29,21.666666666666668,22
vietnam,1474.7946094274746,19,1464.9700000744408,24,-0.4047110343182502,25,22.666666666666668,23
canada,1471.25847039978,22,1469.003164364961,22,-0.4812173768101446,27,23.666666666666668,24
mexico,1460.6007312409904,26,1460.6121025684392,25,-0.19469517808063605,20,23.666666666666668,25
oman,1464.5764676996853,25,1465.851819380637,23,-0.4586544519377218,26,24.666666666666668,26
germany,1454.859188745114,27,1455.4760093854632,26,-0.24120680598760927,21,24.666666666666668,27
france,1437.0814641444595,28,1430.9711788320062,29,-0.2920450439064451,23,26.666666666666668,28
kazakhstan,1430.8283803596153,29,1442.1711566132074,28,-0.6675801918972559,30,29.0,29
usa,1428.0406400271377,30,1420.1030800565761,30,-0.5518230565899901,28,29.333333333333332,30
mongolia,1405.3257876970763,31,1413.8699386817834,31,-0.7499211294545414,32,31.333333333333332,31
rwanda,1398.4871198708156,32,1395.71679897013,32,-0.7137755163450106,31,31.666666666666668,32
