team,B-Score,Elo-Basic,Elo-XG,IP,XG-Diff/60,XG/60,avg_rank,median_rank,ensemble_rank
usa,3,6,6,6,5,2,4.666666666666667,5.5,1
uk,4,11,4,1,1,11,5.333333333333333,4.0,2
panama,15,1,1,8,9,9,7.166666666666667,8.5,3
new_zealand,18,7,7,3,2,8,7.5,7.0,4
peru,14,5,5,7,10,10,8.5,8.5,5
iceland,26,4,8,9,7,4,9.666666666666666,7.5,6
saudi_arabia,11,22,19,2,3,5,10.333333333333334,8.0,7
guatemala,27,2,2,15,15,1,10.333333333333334,8.5,8
france,29,16,11,4,4,3,11.166666666666666,7.5,9
netherlands,19,3,3,16,16,16,12.166666666666666,16.0,10
south_korea,8,10,9,17,18,15,12.833333333333334,12.5,11
canada,2,23,21,5,6,21,13.0,13.5,12
brazil,1,13,13,14,13,26,13.333333333333334,13.0,13
mongolia,21,9,12,10,8,20,13.333333333333334,11.0,14
uae,5,21,22,13,14,7,13.666666666666666,13.5,15
indonesia,24,8,10,11,11,27,15.166666666666666,11.0,16
rwanda,12,18,16,18,17,12,15.5,16.5,17
singapore,9,17,15,23,23,6,15.5,16.0,18
kazakhstan,23,14,17,12,12,22,16.666666666666668,15.5,19
oman,17,15,14,19,19,25,18.166666666666668,18.0,20
philippines,13,19,20,21,21,23,19.5,20.5,21
serbia,10,28,29,20,20,14,20.166666666666668,20.0,22
morocco,20,12,18,25,25,24,20.666666666666668,22.0,23
mexico,22,26,24,22,22,17,22.166666666666668,22.0,24
pakistan,16,24,27,29,29,18,23.833333333333332,25.5,25
india,25,29,26,26,27,13,24.333333333333332,26.0,26
switzerland,7,27,28,27,26,31,24.333333333333332,27.0,27
china,31,20,23,28,28,19,24.833333333333332,25.5,28
thailand,6,31,31,32,32,29,26.833333333333332,31.0,29
germany,28,25,25,30,30,28,27.666666666666668,28.0,30
vietnam,32,30,30,24,24,30,28.333333333333332,30.0,31
ethiopia,30,32,32,31,31,32,31.333333333333332,31.5,32
