team,B-Score,Elo-Basic,Elo-XG,IP,XG-Diff/60,XG/60,avg_rank,median_rank,ensemble_rank,refined_avg_rank,refined_median_rank,refined_rank,refined_std,refined_range
guatemala,27,2,2,15,15,1,10.333333333333334,8.5,8,1.6666666666666667,2.0,1,0.5773502691896257,1
panama,15,1,1,8,9,9,7.166666666666667,8.5,3,3.6666666666666665,1.0,2,4.618802153517007,8
usa,3,6,6,6,5,2,4.666666666666667,5.5,1,4.666666666666667,6.0,3,2.309401076758503,4
iceland,26,4,8,9,7,4,9.666666666666666,7.5,6,5.333333333333333,4.0,4,2.309401076758503,4
peru,14,5,5,7,10,10,8.5,8.5,5,6.666666666666667,5.0,5,2.8867513459481287,5
new_zealand,18,7,7,3,2,8,7.5,7.0,4,7.333333333333333,7.0,6,0.5773502691896258,1
netherlands,19,3,3,16,16,16,12.166666666666666,16.0,10,7.333333333333333,3.0,7,7.505553499465136,13
uk,4,11,4,1,1,11,5.333333333333333,4.0,2,8.666666666666666,11.0,8,4.041451884327381,7
france,29,16,11,4,4,3,11.166666666666666,7.5,9,10.0,11.0,9,6.557438524302,13
south_korea,8,10,9,17,18,15,12.833333333333334,12.5,11,11.333333333333334,10.0,10,3.214550253664318,6
singapore,9,17,15,23,23,6,15.5,16.0,18,12.666666666666666,15.0,11,5.859465277082315,11
mongolia,21,9,12,10,8,20,13.333333333333334,11.0,14,13.666666666666666,12.0,12,5.686240703077327,11
indonesia,24,8,10,11,11,27,15.166666666666666,11.0,16,15.0,10.0,13,10.44030650891055,19
rwanda,12,18,16,18,17,12,15.5,16.5,17,15.333333333333334,16.0,14,3.055050463303893,6
saudi_arabia,11,22,19,2,3,5,10.333333333333334,8.0,7,15.333333333333334,19.0,15,9.073771725877465,17
uae,5,21,22,13,14,7,13.666666666666666,13.5,15,16.666666666666668,21.0,16,8.386497083606084,15
brazil,1,13,13,14,13,26,13.333333333333334,13.0,13,17.333333333333332,13.0,17,7.505553499465135,13
kazakhstan,23,14,17,12,12,22,16.666666666666668,15.5,19,17.666666666666668,17.0,18,4.041451884327381,8
morocco,20,12,18,25,25,24,20.666666666666668,22.0,23,18.0,18.0,19,6.0,12
oman,17,15,14,19,19,25,18.166666666666668,18.0,20,18.0,15.0,20,6.082762530298219,11
china,31,20,23,28,28,19,24.833333333333332,25.5,28,20.666666666666668,20.0,21,2.081665999466133,4
philippines,13,19,20,21,21,23,19.5,20.5,21,20.666666666666668,20.0,22,2.081665999466133,4
canada,2,23,21,5,6,21,13.0,13.5,12,21.666666666666668,21.0,23,1.1547005383792515,2
mexico,22,26,24,22,22,17,22.166666666666668,22.0,24,22.333333333333332,24.0,24,4.725815626252609,9
india,25,29,26,26,27,13,24.333333333333332,26.0,26,22.666666666666668,26.0,25,8.504900548115383,16
pakistan,16,24,27,29,29,18,23.833333333333332,25.5,25,23.0,24.0,26,4.58257569495584,9
serbia,10,28,29,20,20,14,20.166666666666668,20.0,22,23.666666666666668,28.0,27,8.386497083606084,15
germany,28,25,25,30,30,28,27.666666666666668,28.0,30,26.0,25.0,28,1.7320508075688772,3
switzerland,7,27,28,27,26,31,24.333333333333332,27.0,27,28.666666666666668,28.0,29,2.081665999466133,4
vietnam,32,30,30,24,24,30,28.333333333333332,30.0,31,30.0,30.0,30,0.0,0
thailand,6,31,31,32,32,29,26.833333333333332,31.0,29,30.333333333333332,31.0,31,1.1547005383792515,2
ethiopia,30,32,32,31,31,32,31.333333333333332,31.5,32,32.0,32.0,32,0.0,0
